#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2019 01 01 00 50  68  5.5  7.0  1.97 12.12  7.20 312 1031.1   8.4  10.9 999.0 99.0 99.00
2019 01 01 01 50  62  4.3  5.7  1.93 12.90  7.27 316 1031.3   8.4  10.8 999.0 99.0 99.00
2019 01 01 02 50  60  4.6  5.8  2.11 12.12  8.06 326 1031.2   8.5  10.8 999.0 99.0 99.00
2019 01 01 03 50  43  4.5  5.6  2.00 11.43  7.80 326 1031.0   8.4  10.8 999.0 99.0 99.00
2019 01 01 04 50  36  4.4  5.8  1.90 11.43  7.85 327 1031.0   8.2  10.7 999.0 99.0 99.00
2019 01 01 05 50  19  3.6  4.5  2.13 12.12  8.28 318 1030.5   8.2  10.7 999.0 99.0 99.00
2019 01 01 06 50  43  3.2  4.4  2.17 11.43  8.40 317 1030.2   8.1  10.6 999.0 99.0 99.00
2019 01 01 07 50  32  3.8  5.0  2.01 11.43  7.96 319 1029.9   8.1  10.6 999.0 99.0 99.00
2019 01 01 08 50  13  4.0  5.2  2.11 11.43  8.57 311 1030.4   8.2  10.6 999.0 99.0 99.00
2019 01 01 09 50   2  4.9  6.8  2.16 10.81  8.52 308 1031.0   8.2  10.7 999.0 99.0 99.00
2019 01 01 10 50  10  4.0  5.6  2.00 10.00  8.03 297 1030.9   8.1  10.7 999.0 99.0 99.00
2019 01 01 11 50  18  3.7  5.3  2.24 17.39  8.44 302 1030.6   8.1  10.7 999.0 99.0 99.00
2019 01 01 12 50  46  3.4  4.4  2.06 17.39  8.70 294 1030.4   8.1  10.7 999.0 99.0 99.00
2019 01 01 13 50  49  3.3  4.4  1.92 17.39  8.43 296 1029.9   7.9  10.7 999.0 99.0 99.00
2019 01 01 14 50  69  2.8  4.1  1.85 17.39  8.79 288 1029.8   8.0  10.7 999.0 99.0 99.00
2019 01 01 15 50 122  2.7  4.3  1.67 17.39  8.39 266 1029.4   8.1  10.6 999.0 99.0 99.00
