Day,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
2,3.4,0.0,1.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4
3,0.4,0.0,0.0,2.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.4,0.0,0.0,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.9,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,6.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.2,4.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0
9,1.0,5.6,0.6,0.0,0.0,0.0,0.0,0.0,4.2,0.0,1.4,0.0
10,1.2,6.2,0.0,T,0.0,0.0,0.0,0.0,1.1,0.0,2.2,0.0
11,T,2.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
12,2.2,0.2,0.3,4.5,T,0.0,0.0,0.0,0.0,2.0,3.6,2.7
13,0.0,1.4,T,2.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8
14,0.0,0.0,2.0,2.8,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,3.6
16,0.0,3.8,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4
17,0.0,3.3,0.0,6.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T
18,3.6,4.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
19,T,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6
20,0.0,2.5,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,0.0,0.0,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2.0,0.0,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,6.7,9.2,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,T,4.0
24,0.7,7.6,1.9,4.2,0.0,0.0,0.0,0.0,0.0,0.0,8.4,0.1
25,0.9,0.9,0.0,1.6,4.2,0.0,0.0,0.0,0.0,0.0,1.5,0.0
26,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0
27,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.4,1.9,0.4
28,4.6,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2
29,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5
30,1.4,-,T,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
31,0.0,-,0.9,-,0.0,-,0.0,0.0,-,0.0,-,0.0
