Day, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec
1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
3, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
4, M, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
5, M, 6.2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
6, 3.1, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
7, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
8, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
9, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
10, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, M, 7.0
11, 0.0, T, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, M, M
12, 0.0, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
13, 0.0, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
14, 0.0, M, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
15, 0.0, M, M, 13.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, 5.0
16, 0.0, 6.2, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
17, 0.0, 2.2, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, M, M
18, M, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
19, M, 0.0, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0, 0.0, M
20, M, T, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, M
21, M, 0.0, 5.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, T, M
22, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
23, 6.9, 0.0, 0.0, 0.0, T, 0.0, 0.0, 0.0, 0.0, M, 0.0, 5.8
24, M, 0.0, 0.0, 0.0, T, 0.0, 0.0, 0.0, 0.0, M, M, M
25, M, 0.0, 0.0, 0.0, M, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
26, T, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M, 0.0, M
27, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
28, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
29, M, M, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
30, M,  -, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, M
31, 10.9,  -, 0.0,  -, 0.0,  -, 0.0, 0.0,  -, 0.0,  -, M
